PUBCHEM_SUBSTANCE_ID,smiles
17118488,C#CCOc1cc(Br)c(/C=c2\sc3n(c2=O)C(c2cc(Cl)c(O)c(OC)c2)C(C(=O)OCC)=C(C)N=3)cc1OC
17095835,COc1ccc(-n2c(C)cc(/C=C3\S/C(=N/c4ccccc4)N(C4CCCC4)C3=O)c2C)cc1
17095834,Cc1cc(/C=C2\S/C(=N/c3ccccc3)N(C3CCCC3)C2=O)c(C)n1-c1cccc(C(=O)O)c1
17095833,Cc1cc(/C=C2\S/C(=N/c3ccccc3)N(C3CCCC3)C2=O)c(C)n1-c1ccc(C(=O)O)cc1
160654524,COc1ccc(-c2cc(=O)oc3c4c(ccc23)OCN(Cc2ccc(OC)cc2OC)C4)cc1
17093485,O=C1/C(=C/c2ccc(O)c(Cl)c2)S/C(=N\c2ccccc2)N1C1CCCCC1
17034657,CCOC(=O)C1=C(C)N=c2s/c(=C\c3ccc(N(CC)CC)cc3OC)c(=O)n2C1c1ccc(N(C)C)cc1
17040319,Cc1cc(/C=C2\C(=O)NC(=O)N(C3CCCCC3)C2=O)c(C)n1-c1ccc(Cl)cc1
16982478,Cc1cc(=O)oc2c1ccc1oc(/C(=N/O)c3ccccc3)c(C)c12
17119233,CCOC(=O)C1=C(C)N=c2s/c(=C/c3cc([N+](=O)[O-])ccc3N3CCCCC3)c(=O)n2C1c1ccc(OC)cc1
17035271,O=C(O)c1ccc(/C=C2\S/C(=N/c3ccccc3)N(C3CCCCC3)C2=O)cc1
16983702,COc1cc(C)c(/C=C2/S/C(=N\c3ccccc3)N(C3CCCC3)C2=O)cc1C(C)C
16982926,O=C1/C(=C/c2c(F)cccc2Cl)S/C(=N/c2ccccc2)N1C1CCCC1
16982905,COc1ccc(/C=C2/S/C(=N/c3ccccc3)N(C3CCCCC3)C2=O)cc1
124752599,Cc1cccn2c(=O)c3cc(C(=O)NCc4ccc(F)cc4)c(=N)n(Cc4ccco4)c3nc12
16982871,Cc1cc(/C=C2/S/C(=N/c3ccccc3)N(C3CCCCC3)C2=O)c(C)n1-c1ccc(F)cc1
16982868,COc1ccc(Br)cc1/C=C1/S/C(=N/c2ccccc2)N(C2CCCCC2)C1=O
17023920,CCOC(=O)C1=C(C)N=c2s/c(=C/c3ccc(N(C)C)cc3)c(=O)n2C1c1ccc(Cl)cc1
16982831,O=C1/C(=C\c2ccc(Cl)cc2Cl)S/C(=N/c2ccccc2)N1C1CCCCC1
17000136,Cc1cccc(Nc2nc3ccccc3c3ccccc23)c1
17110445,C=CCOc1ccc(C2C(C(=O)OCC)=C(C)N=c3s/c(=C\c4cc(OC)ccc4OC)c(=O)n32)cc1
17087810,O=C(COc1ccc(Cl)cc1Cl)NCCCNC(=O)COc1ccc(Cl)cc1Cl
17035957,COc1ccc(N2C(=O)C3C(C2=O)C2(C)C(=O)C3(C)C(c3ccccc3)=C2c2ccccc2)cc1
17035956,Cc1ccc(N2C(=O)C3C(C2=O)C2(C)C(=O)C3(C)C(c3ccccc3)=C2c2ccccc2)cc1
17035955,CC12C(=O)C(C)(C(c3ccccc3)=C1c1ccccc1)C1C(=O)N(c3ccccc3)C(=O)C12
17023919,CCOC(=O)C1=C(C)N=c2s/c(=C\c3ccc(OC(C)=O)cc3OC(C)=O)c(=O)n2C1c1ccccc1
17023283,O=C1NC(=O)C2C1C1(c3ccccc3)C(=O)C2(c2ccccc2)C(c2ccccc2)=C1c1ccccc1
195199051,O=C(Nc1ccc(N2CCN(Cc3ccccc3)CC2)cc1)c1cccs1
124751362,Cn1c(CN2CCN(c3ccc(NC(=O)c4cccs4)cc3)CC2)nc2ccccc21
24379445,CN(C)CCNCc1ccc(-c2ccc(Cl)cc2Cl)o1
277299822,Clc1ccc(/C=N/Nc2nc3ccccc3[nH]2)cc1
17023918,CCOC(=O)C1=C(C)N=c2s/c(=C\c3ccc(OC(C)=O)c(OC)c3)c(=O)n2C1c1ccccc1
118051401,O=C(NC(=S)NC1CCN(Cc2ccccc2)CC1)C1CCCCC1
17023899,CCOC(=O)C1=C(C)N=c2s/c(=C\c3ccc(OC)c(OC)c3)c(=O)n2C1c1ccc(OC(C)=O)cc1
22398353,Cc1ccc2c(c1)c1c(n2CC(O)Cn2nnc3ccccc32)C(=O)CCC1
17096837,O=[N+]([O-])c1ccc(N/N=C/c2ccc(/C=N/Nc3ccc([N+](=O)[O-])cc3)cc2)cc1
17138113,COCCCNC(=O)CCCOc1ccc(Cl)cc1Cl
17058680,O=[N+]([O-])c1ccc(/C=N/Nc2nc3ccccc3s2)cc1
17021696,C/C(=C\c1ccc([N+](=O)[O-])cc1)c1nc2ccccc2[nH]1
17023898,CCOC(=O)C1=C(C)N=c2s/c(=C\c3ccc(OC)cc3)c(=O)n2C1c1ccc(OC(C)=O)cc1
16966980,C(=N/Nc1nc2ccccc2[nH]1)\c1cccs1
16979811,O=[N+]([O-])c1ccc(Nc2nc(N/N=C/c3ccc(Br)cc3)nc(N3CCOCC3)n2)cc1
17119294,CCOC(=O)C1=C(C)N=c2s/c(=C/c3cccc([N+](=O)[O-])c3O)c(=O)n2C1c1cccc(OC)c1
17088885,CC1(C(=O)NC2CCN(Cc3ccccc3)CC2)CC1(Br)Br
124353754,N=c1c(C(=O)NCc2ccc3c(c2)OCO3)cc2c(=O)n3ccccc3nc2n1CCc1ccccc1
16969633,CN(C)CCCNc1nc(-c2ccccc2)nc2ccccc12
126921088,CN(C)CCCNc1ccnc2cc(Cl)ccc12
17042381,Clc1ccc(NNc2ccnc3cc(Cl)ccc23)cc1
17023897,CCOC(=O)C1=C(C)N=c2s/c(=C\c3ccc(N(C)C)cc3)c(=O)n2C1c1ccc(OC(C)=O)cc1
